question_id,question,gold_answer,dataset_split,direction,solver_model,critic_model,solver_reasoning,solver_answer,solver_correct,critic_independent_reasoning,critic_independent_answer,critic_independent_correct,critic_solver_agree_before_verdict,critic_verdict,critic_error_desc,critic_proposed_answer,revision_called,revision_reasoning,revise_decision,revised_answer,revised_correct,changed_answer,transition,beneficial,valid,parse_failure_stage,retry_count,split,critic_disagrees,proposed_answer_differs,explicit_error_flag,hedging_count,critique_length,self_consistency,solver_tokens,critic_independent_tokens,critique_tokens,revision_tokens,latency_s,prompt_version,timestamp
gsm8k-train-4505,"Unrest leads to 30 days of protest in 21 different cities.  In each city, there are 10 arrests per day.  The average person spends 4 days in jail before trial and then spends half of a 2-week sentence.  How many combined weeks of jail time are there?",9900,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,,,,,,,,,,0,,,,,,,,0,solver,1,,,,,,,,372,,,,21.092308,V7,2026-08-14T16:25:39.066863+00:00
gsm8k-train-3431,"The school is hosting a race after school. The winner is the person who runs the most laps around the school in 12 minutes.  One lap around the school is 100 meters. The winner is awarded a gift certificate equal to $3.5 for every one hundred meters they run. The winner runs 24 laps around the school. On average, how much did they earn per minute?",7,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,,,,,,,,,,0,,,,,,,,0,solver,1,,,,,,,,337,,,,19.089043,V7,2026-08-14T17:25:12.525912+00:00
gsm8k-train-1012,"Brian is a real estate agent. He makes a 2% commission on each sale. During June, he sold three houses. The houses sold for $157,000, $499,000, and $125,000. What was Brian’s total commission on these three sales?",15620,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"To find Brian's total commission, we need to calculate the commission for each house sale and then sum them up.

1. Calculate the commission for the first house:
   - Sale price: $157,000
   - Commission rate: 2%
   - Commission: \( 157,000 \times 0.02 = 3,140 \)

2. Calculate the commission for the second house:
   - Sale price: $499,000
   - Commission rate: 2%
   - Commission: \( 499,000 \times 0.02 = 9,980 \)

3. Calculate the commission for the third house:
   - Sale price: $125,000
   - Commission rate: 2%
   - Commission: \( 125,000 \times 0.02 = 2,500 \)

Now, add the commissions from all three houses to get the total commission:
- Total commission: \( 3,140 + 9,980 + 2,500 = 15,620 \)",15620,1,"To find Brian's total commission, we need to calculate the commission for each sale and then add them together.

Commission for the first sale: 2% of $157,000 = 0.02 x $157,000 = $3,140
Commission for the second sale: 2% of $499,000 = 0.02 x $499,000 = $9,980
Commission for the third sale: 2% of $125,000 = 0.02 x $125,000 = $2,500

Now, let's add the commissions together:
$3,140 + $9,980 = $13,120
$13,120 + $2,500 = $15,620

Therefore, Brian's total commission on these three sales is $15,620.",15620,1,1,CORRECT,None,15620,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,267,176,23,,24.199143,V7,2026-08-14T21:09:21.128143+00:00
gsm8k-train-1022,"Rachel is 4 years older than Leah. If the sum of their ages is 34, how old is Rachel?",19,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"Let's denote Leah's age as \( L \) and Rachel's age as \( R \).

From the problem statement, we have two pieces of information:

1. Rachel is 4 years older than Leah.
2. The sum of their ages is 34.

We can express these statements with the following equations:
\[ R = L + 4 \]
\[ R + L = 34 \]

Now, we can substitute the first equation into the second equation to solve for \( L \):
\[ (L + 4) + L = 34 \]
\[ 2L + 4 = 34 \]

Next, we isolate \( L \) by subtracting 4 from both sides:
\[ 2L = 30 \]

Then, we divide both sides by 2:
\[ L = 15 \]

Now that we know Leah's age (\( L = 15 \)), we can find Rachel's age using the first equation:
\[ R = L + 4 \]
\[ R = 15 + 4 \]
\[ R = 19 \]

So, Rachel is 19 years old.",19,1,"Step 1: Let's define the variables for the problem. Let R be Rachel's age and L be Leah's age.

Step 2: According to the problem, Rachel is 4 years older than Leah. We can write this as an equation: R = L + 4.

Step 3: The problem also states that the sum of their ages is 34. We can write this as another equation: R + L = 34.

Step 4: Now we have two equations and two variables. We can substitute the expression for R from the first equation into the second equation: (L + 4) + L = 34.

Step 5: Simplify the equation by combining like terms: 2L + 4 = 34.

Step 6: Subtract 4 from both sides of the equation: 2L = 30.

Step 7: Divide both sides of the equation by 2: L = 15.

Step 8: Now that we have found Leah's age, we can find Rachel's age by substituting L into one of the original equations. Using R = L + 4, we get R = 15 + 4 = 19.

Step 9: Therefore, Rachel is 19 years old.",19,1,1,CORRECT,None,19,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,250,267,21,,26.873946,V7,2026-08-14T21:09:22.677473+00:00
gsm8k-train-1027,John commissions an artist to make him a 9 by 13 drawing.  A black and white drawing that size would cost $160.  He wants a color drawing so that is 50% more expensive.  How much did he pay?,240,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"To solve this problem, let's break it down step by step:

1. **Determine the cost of a color drawing:**
   - The cost of a black and white drawing is $160.
   - A color drawing is 50% more expensive than a black and white drawing.

2. **Calculate the additional cost for the color drawing:**
   - To find 50% of $160, we use the formula:
     \[
     \text{Additional Cost} = \text{Original Cost} \times \frac{50}{100}
     \]
   - Plugging in the values:
     \[
     \text{Additional Cost} = 160 \times \frac{50}{100} = 160 \times 0.5 = 80
     \]

3. **Add the additional cost to the original cost:**
   - Total cost for the color drawing:
     \[
     \text{Total Cost} = \text{Original Cost} + \text{Additional Cost}
     \]
   - Plugging in the values:
     \[
     \text{Total Cost} = 160 + 80 = 240
     \]

So, John paid $240 for the color drawing.",240,1,"To find the cost of the color drawing, we need to calculate 50% of the original cost and then add it to the original cost.

50% of $160 is 0.5 x $160 = $80.

Now, we add the 50% increase to the original cost:
$160 + $80 = $240.

So, John paid $240 for the color drawing.",240,1,1,CORRECT,None,240,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,287,87,21,,20.998044,V7,2026-08-14T21:09:24.213867+00:00
gsm8k-train-1031,"There were 600 people in the stadium when the football game started. Before the game was over, one-fourth of the boys and one-eighth of the girls left early. How many people remained to see the end of the game if there were 240 girls at the beginning of the game?",480,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"Let's solve the problem step by step.

1. **Determine the initial number of boys and girls:**
   - We know that there were 600 people in total at the start.
   - There were 240 girls at the start.
   - Therefore, the number of boys is \(600 - 240 = 360\).

2. **Calculate the number of boys who left early:**
   - One-fourth of the boys left early.
   - Number of boys who left = \(\frac{1}{4} \times 360 = 90\).
   - So, the number of boys remaining = \(360 - 90 = 270\).

3. **Calculate the number of girls who left early:**
   - One-eighth of the girls left early.
   - Number of girls who left = \(\frac{1}{8} \times 240 = 30\).
   - So, the number of girls remaining = \(240 - 30 = 210\).

4. **Calculate the total number of people remaining:**
   - Total people remaining = Number of boys remaining + Number of girls remaining.
   - Total people remaining = \(270 + 210 = 480\).

Now, let's put the final answer in the required format:",480,1,"To solve this problem, we need to find out how many boys and girls were in the stadium initially.

We are given that there were 240 girls at the beginning of the game. We also know that there were 600 people in total.

Let's denote the number of boys as B. Since the total number of people is the sum of boys and girls, we can write an equation:

B + 240 = 600

Subtracting 240 from both sides gives us:

B = 360

Now that we know there were 360 boys, we can find out how many boys left early. One-fourth of the boys left early, so we multiply 360 by 1/4:

360 * 1/4 = 90

Now, let's find out how many girls left early. One-eighth of the girls left early, so we multiply 240 by 1/8:

240 * 1/8 = 30

Now that we know how many boys and girls left early, we can find out how many people remained in the stadium. We subtract the number of people who left early from the initial total:

People who left early = 90 boys + 30 girls = 120

Remaining people = 600 - 120 = 480",480,1,1,CORRECT,None,480,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,305,268,21,,30.851548,V7,2026-08-14T21:09:25.759275+00:00
gsm8k-train-1041,A clinic administered the covid vaccine to 650 people. 80% of the people were adults. How many of the vaccinated people were children?,130,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"To solve this problem, we need to determine how many of the vaccinated people were children. We know that 80% of the vaccinated people were adults, so the remaining percentage must be children.

1. Calculate the number of adults vaccinated:
   - Total vaccinated people = 650
   - Percentage of adults = 80%
   - Number of adults = 80% of 650

2. Calculate the number of children vaccinated:
   - Number of children = Total vaccinated people - Number of adults

Let's perform the calculations:

1. Number of adults:
\[ \text{Number of adults} = 0.80 \times 650 \]

2. Number of children:
\[ \text{Number of children} = 650 - \text{Number of adults} \]

Now, let's do the math for the number of adults:
\[ \text{Number of adults} = 0.80 \times 650 = 520 \]

Next, calculate the number of children:
\[ \text{Number of children} = 650 - 520 = 130 \]

So, the number of children vaccinated is 130.",130,1,"To find the number of children who were vaccinated, we need to first calculate the number of adults who were vaccinated. We know that 80% of the people were adults, so we can calculate this as follows:

Number of adults = Total number of people * Percentage of adults
= 650 * 0.8
= 520

Now that we know the number of adults, we can find the number of children by subtracting the number of adults from the total number of people:

Number of children = Total number of people - Number of adults
= 650 - 520
= 130",130,1,1,CORRECT,None,130,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,267,130,21,,21.640387,V7,2026-08-14T21:09:31.193519+00:00
gsm8k-train-1043,James decides to buy a living room set.  The coach cost $2500 and the sectional cost $3500 and everything else has a combined cost of $2000.  He gets a 10% discount on everything.  How much did he pay?,7200,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"To solve this problem, let's break it down step by step:

1. **Calculate the total cost before the discount:**
   - Cost of the couch: $2500
   - Cost of the sectional: $3500
   - Combined cost of everything else: $2000

   Total cost before discount = $2500 + $3500 + $2000

2. **Add up the costs:**
   \[
   2500 + 3500 + 2000 = 8000
   \]

3. **Apply the 10% discount:**
   - Discount amount = 10% of $8000
   - Discount amount = \( 0.10 \times 8000 = 800 \)

4. **Subtract the discount from the total cost:**
   \[
   8000 - 800 = 7200
   \]

So, James paid $7200 after the discount.",7200,1,"Step 1: Calculate the total cost of the living room set before the discount.
Total cost = Coach cost + Sectional cost + Everything else cost
Total cost = $2500 + $3500 + $2000
Total cost = $8000

Step 2: Calculate the discount amount.
Discount amount = 10% of the total cost
Discount amount = 0.10 * $8000
Discount amount = $800

Step 3: Calculate the total cost after the discount.
Total cost after discount = Total cost - Discount amount
Total cost after discount = $8000 - $800
Total cost after discount = $7200",7200,1,1,CORRECT,None,7200,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,243,143,22,,21.5722,V7,2026-08-14T21:09:32.769540+00:00
gsm8k-train-1044,"During a race transmitted on television, five advertisements were shown, lasting 3 minutes each. One minute of advertising costs $4000. What was the cost of transmitting these advertisements during the race?",60000,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"To solve this problem, let's break it down step by step:

1. **Determine the total duration of the advertisements:**
   - There are 5 advertisements.
   - Each advertisement lasts 3 minutes.
   - Total duration = Number of advertisements × Duration per advertisement
   - Total duration = 5 × 3 = 15 minutes

2. **Calculate the total cost of the advertisements:**
   - The cost of one minute of advertising is $4000.
   - Total cost = Total duration × Cost per minute
   - Total cost = 15 × $4000

Now, let's perform the multiplication to find the total cost:

\[ \text{Total cost} = 15 \times 4000 = 60000 \]

So, the cost of transmitting these advertisements during the race is $60000.",60000,1,"To find the total cost of transmitting the advertisements, we need to multiply the number of advertisements by the cost per advertisement.

Step 1: Calculate the total number of minutes of advertisements.
There are 5 advertisements, each lasting 3 minutes.
Total minutes = 5 * 3 = 15 minutes

Step 2: Calculate the total cost of transmitting the advertisements.
One minute of advertising costs $4000.
Total cost = Total minutes * Cost per minute
Total cost = 15 * $4000
Total cost = $60,000",60000,1,1,CORRECT,None,60000,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,198,120,22,,17.547979,V7,2026-08-14T21:09:34.350630+00:00
gsm8k-train-1062,Ruth prepared sandwiches. She ate 1 sandwich and gave 2 sandwiches to her brother. Her first cousin arrived and ate 2 sandwiches. Then her two other cousins arrived and ate 1 sandwich each. There were 3 sandwiches left. How many sandwiches did Ruth prepare?,10,train,qwen_solver_llama_critic,Qwen/Qwen2.5-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,"Let's denote the total number of sandwiches Ruth prepared as \( S \).

1. Ruth ate 1 sandwich.
2. Ruth gave 2 sandwiches to her brother.
3. Her first cousin ate 2 sandwiches.
4. Her two other cousins each ate 1 sandwich.

So, the total number of sandwiches eaten or given away is:
\[ 1 + 2 + 2 + 1 + 1 = 7 \]

After all these actions, there were 3 sandwiches left. Therefore, the total number of sandwiches prepared (\( S \)) is the sum of the sandwiches eaten or given away and the sandwiches left:
\[ S = 7 + 3 = 10 \]",10,1,"To solve this problem, let's break it down step by step.

1. Ruth ate 1 sandwich.
2. She gave 2 sandwiches to her brother.
3. Her first cousin ate 2 sandwiches.
4. Her two other cousins ate 1 sandwich each, so they ate 2 sandwiches in total.

Now, let's add up the number of sandwiches that were eaten:
1 (Ruth) + 2 (brother) + 2 (first cousin) + 2 (other cousins) = 7 sandwiches

There were 3 sandwiches left. To find out how many sandwiches Ruth prepared, we need to add the number of sandwiches that were eaten to the number of sandwiches that were left:
7 (eaten) + 3 (left) = 10 sandwiches",10,1,1,CORRECT,None,10,0,,,,,0,STABLE-CORRECT,0,1,,0,,0,0,,,,,151,168,21,,17.048791,V7,2026-08-14T21:09:35.883958+00:00
